School Name,Suburb,Type,Sector,Geolocation,Latitude,Longitude,VET Certs With 2021 Enrolments,% Applying for Tertiary Study,Median VCE Score,VCE 40+ %
Academy of Mary Immaculate,Fitzroy,Secondary,Non-Gov,Major Cities,-37.8037,144.974,10,94,30,   6.5
Adass Israel School,Elsternwick,Combined,Non-Gov,Major Cities,-37.8839,145.008,3,0,0,0
Aitken College,Greenvale,Combined,Non-Gov,Major Cities,-37.6274,144.888,21,94.2,28,   2.7
Al Iman College,Melton South,Combined,Non-Gov,Major Cities,-37.707,144.565,0,35.7,26,   3.9
Al Siraat College,Epping,Combined,Non-Gov,Major Cities,-37.6243,145.038,2,95,30,   4.6
Albert Park College,Albert Park,Secondary,Gov,Major Cities,-37.8444,144.947,23,85.8,30,   9.0
Alexandra Secondary College,Alexandra,Secondary,Gov,Inner Regional,-37.1945,145.701,7,69.6,26,   0.8
Alia College,Hawthorn East,Secondary,Non-Gov,Major Cities,-37.8432,145.045,2,25,24,0
Alice Miller School,Macedon,Combined,Non-Gov,Inner Regional,-37.4466,144.532,2,75,35,  14.2
Alkira Secondary College,Cranbourne North,Secondary,Gov,Major Cities,-38.0733,145.311,35,81.5,29,   3.5
Alphington Grammar School,Alphington,Combined,Non-Gov,Major Cities,-37.7804,145.036,1,97.9,31,   5.0
Altona College,Altona,Combined,Gov,Major Cities,-37.8615,144.817,15,86.7,31,   7.7
Antonine College,Pascoe Vale South,Combined,Non-Gov,Major Cities,-37.7412,144.943,10,93.5,28,   5.2
Apollo Bay P-12 College,Apollo Bay,Combined,Gov,Inner Regional,-38.7535,143.661,3,69.2,33,   5.4
Aquinas College,Ringwood,Secondary,Non-Gov,Major Cities,-37.823,145.235,45,85.2,31,   7.5
Ararat Secondary College,Ararat,Secondary,Gov,Inner Regional,-37.286,142.922,14,52.6,25,   2.7
Armstrong Creek School,Armstrong Creek,Primary,Gov,Major Cities,-38.2314,144.364,0,0,0,0
Ashwood High School,Ashwood,Secondary,Gov,Major Cities,-37.8641,145.103,16,95.5,33,  10.8
Assumption College,Kilmore,Secondary,Non-Gov,Inner Regional,-37.301,144.948,35,75.2,28,   4.0
Auburn High School,Hawthorn East,Secondary,Gov,Major Cities,-37.8398,145.045,3,94.3,31,  10.6
Ave Maria College,Aberfeldie,Secondary,Non-Gov,Major Cities,-37.7566,144.898,11,95.9,31,   5.8
Avila College,Mount Waverley,Secondary,Non-Gov,Major Cities,-37.8747,145.133,17,98,32,   7.2
Bacchus Marsh College,Bacchus Marsh,Secondary,Gov,Major Cities,-37.6856,144.433,31,53.6,25,   2.4
Baimbridge College,Hamilton,Secondary,Gov,Inner Regional,-37.7333,142.015,17,51.5,24,   2.1
Bairnsdale Secondary College,Bairnsdale,Secondary,Gov,Outer Regional,-37.832,147.622,22,61.2,26,   2.8
Balcombe Grammar School,Mount Martha,Combined,Non-Gov,Major Cities,-38.2738,145.033,11,84.6,32,   8.4
Ballarat Christian College,Sebastopol,Combined,Non-Gov,Inner Regional,-37.5933,143.843,18,60,22,0
Ballarat Clarendon College,Ballarat,Combined,Non-Gov,Inner Regional,-37.5596,143.834,9,93.2,37,  32.5
Ballarat Grammar,Wendouree,Combined,Non-Gov,Inner Regional,-37.5392,143.831,20,91,32,  13.3
Ballarat High School,Ballarat,Secondary,Gov,Inner Regional,-37.5542,143.818,30,60.7,28,   1.8
Balwyn High School,Balwyn North,Secondary,Gov,Major Cities,-37.7979,145.077,7,91.4,32,  16.9
Bannockburn P-12 College,Bannockburn,Combined,Gov,Inner Regional,-38.0471,144.17,13,0,30,0
Bayside Christian College,Langwarrin South,Combined,Non-Gov,Major Cities,-38.1786,145.163,14,79.2,30,   6.0
Bayswater Secondary College,Bayswater,Secondary,Gov,Major Cities,-37.839,145.262,15,50,26,0
Bayview College,Portland,Secondary,Non-Gov,Outer Regional,-38.3452,141.606,10,86.4,28,0
Beaconhills College,Pakenham,Combined,Non-Gov,Major Cities,-38.0619,145.467,3,67.8,30,   5.7
Beaufort Secondary College,Beaufort,Secondary,Gov,Inner Regional,-37.4383,143.383,7,64.3,28,   2.0
Beechworth Secondary College,Beechworth,Secondary,Gov,Inner Regional,-36.3472,146.691,3,53.3,29,   9.1
Bellarine Secondary College,Drysdale,Secondary,Gov,Inner Regional,-38.1911,144.557,43,76.7,27,   2.0
Belmont High School,Belmont,Secondary,Gov,Major Cities,-38.1756,144.331,40,60.8,28,   4.3
Benalla P-12 College,Benalla,Combined,Gov,Inner Regional,-36.5534,145.964,19,67.6,25,   2.0
Bentleigh Secondary College,Bentleigh East,Secondary,Gov,Major Cities,-37.9277,145.06,20,75.8,28,   2.1
Berwick Secondary College,Berwick,Secondary,Gov,Major Cities,-38.0311,145.364,35,66.4,29,   6.4
Beth Rivkah Ladies College,St Kilda East,Combined,Non-Gov,Major Cities,-37.8696,145.002,6,73.9,34,  20.9
Bialik College,Hawthorn,Combined,Non-Gov,Major Cities,-37.842,145.043,21,98.6,37,  32.6
Billanook College,Mooroolbark,Combined,Non-Gov,Major Cities,-37.7879,145.339,9,96.6,31,   5.4
Birchip P-12 School,Birchip,Combined,Gov,Outer Regional,-35.9844,142.91,14,75,30,   2.4
Blackburn High School,Blackburn,Secondary,Gov,Major Cities,-37.8104,145.15,19,83.8,29,   5.1
Boort District P-12 School,Boort,Combined,Gov,Outer Regional,-36.1104,143.727,11,56.2,31,  15.6
Boronia K-12 College,Boronia,Combined,Gov,Major Cities,-37.8589,145.289,22,58.3,24,   0.7
Box Hill High School,Box Hill,Secondary,Gov,Major Cities,-37.8201,145.138,25,90.5,32,  13.1
Braemar College,Woodend,Combined,Non-Gov,Inner Regional,-37.3638,144.576,9,90.3,32,  11.4
Braybrook College,Braybrook,Secondary,Gov,Major Cities,-37.778,144.848,13,98.7,31,  12.3
Brentwood Secondary College,Glen Waverley,Secondary,Gov,Major Cities,-37.8995,145.166,24,81.4,29,   5.7
Bright P-12 College,Bright,Combined,Gov,Outer Regional,-36.7331,146.961,11,83.3,28,   4.7
Brighton Grammar School,Brighton,Combined,Non-Gov,Major Cities,-37.9111,144.994,7,93.8,34,  17.7
Brighton Secondary College,Brighton East,Secondary,Gov,Major Cities,-37.9202,145.019,19,87.4,29,   7.6
Broadford Secondary College,Broadford,Secondary,Gov,Inner Regional,-37.2044,145.04,27,82.4,25,   1.3
Brunswick Secondary College,Brunswick,Secondary,Gov,Major Cities,-37.771,144.957,17,86.4,30,   9.2
Buckley Park College,Essendon,Secondary,Gov,Major Cities,-37.7471,144.898,20,86.5,29,   6.3
Bundoora Secondary College,Bundoora,Secondary,Gov,Major Cities,-37.7076,145.062,27,77.3,28,   1.3
Camberwell Grammar School,Canterbury,Combined,Non-Gov,Major Cities,-37.8159,145.067,12,98.2,33,  17.1
Camberwell High School,Canterbury,Secondary,Gov,Major Cities,-37.8304,145.073,23,92.1,30,   7.6
Camperdown College,Camperdown,Combined,Gov,Inner Regional,-38.2397,143.145,14,80,27,0
Cann River P-12 College,Cann River,Combined,Gov,Remote,-37.5697,149.153,1,100,26,0
Carey Baptist Grammar School,Kew,Combined,Non-Gov,Major Cities,-37.8158,145.048,15,97.3,34,  17.2
Casterton Secondary College,Casterton,Secondary,Gov,Outer Regional,-37.5888,141.387,11,55.6,29,  10.5
Castlemaine Secondary College,Castlemaine,Secondary,Gov,Inner Regional,-37.0771,144.215,18,64.5,26,   0.7
Catherine McAuley College,Bendigo,Secondary,Non-Gov,Inner Regional,-36.7534,144.273,17,77.9,28,   6.2
Catholic College Sale,Sale,Secondary,Non-Gov,Inner Regional,-38.1087,147.064,14,63.4,28,   5.7
Catholic College Wodonga,Wodonga,Secondary,Non-Gov,Inner Regional,-36.1296,146.862,15,50.8,28,   3.7
Caulfield Grammar School,St Kilda East,Combined,Non-Gov,Major Cities,-37.8774,145.005,15,94.3,34,  19.4
Chairo Christian School,Drouin,Combined,Non-Gov,Inner Regional,-38.1428,145.877,10,72.2,29,   4.5
Charles La Trobe P-12 College,Macleod West,Combined,Gov,Major Cities,-37.7292,145.06,14,97.1,23,   1.3
Charlton College,Charlton,Combined,Gov,Outer Regional,-36.2703,143.36,12,50,28,   6.5
Cheltenham Secondary College,Cheltenham,Secondary,Gov,Major Cities,-37.9533,145.069,15,80.2,30,   5.5
Clonard College,Herne Hill,Secondary,Non-Gov,Major Cities,-38.1298,144.33,28,71.2,29,   5.9
Cobden Technical School,Cobden,Secondary,Gov,Inner Regional,-38.324,143.064,12,0,31,0
Cobram Anglican Grammar School,Cobram,Combined,Non-Gov,Inner Regional,-35.9243,145.66,8,76.5,27,   6.3
Cobram Secondary College,Cobram,Secondary,Gov,Inner Regional,-35.9136,145.654,18,70,28,0
Coburg High School,Coburg,Secondary,Gov,Major Cities,-37.7408,144.973,16,89.6,29,   6.1
Cohuna Secondary College,Cohuna,Secondary,Gov,Outer Regional,-35.8135,144.226,6,71.4,26,   1.9
Colac Secondary College,Colac,Secondary,Gov,Inner Regional,-38.3515,143.59,8,38.9,24,0
Collingwood College,Collingwood,Combined,Gov,Major Cities,-37.803,144.99,18,89.1,27,   3.8
Copperfield College,Delahey,Secondary,Gov,Major Cities,-37.7196,144.772,31,86.9,28,   3.0
Cornish College,Bangholme,Combined,Non-Gov,Major Cities,-38.0486,145.15,11,70.9,30,   3.2
Corryong College,Corryong,Combined,Gov,Outer Regional,-36.1929,147.911,8,46.7,31,  10.0
Covenant College,Bell Post Hill,Combined,Non-Gov,Major Cities,-38.0976,144.318,20,75,30,   9.6
Craigieburn Secondary College,Craigieburn,Secondary,Gov,Major Cities,-37.6086,144.936,17,59.8,22,   1.4
Cranbourne Secondary College,Cranbourne,Secondary,Gov,Major Cities,-38.1081,145.287,30,80,25,   0.7
Croydon Community School,Croydon,Secondary,Gov,Major Cities,-37.7893876,145.2807261,15,0,0,0
Crusoe 7-10 Secondary College,Kangaroo Flat,Secondary,Gov,Inner Regional,-36.7908,144.234,7,0,0,0
Damascus College,Mount Clear,Secondary,Non-Gov,Inner Regional,-37.6115,143.87,25,76,28,   3.0
Dandenong High School,Dandenong,Secondary,Gov,Major Cities,-37.9794,145.209,34,78.2,26,   1.3
Darul Ulum College of Victoria,Fawkner,Combined,Non-Gov,Major Cities,-37.7056,144.971,0,67.8,31,   6.8
Daylesford Secondary College,Daylesford,Secondary,Gov,Inner Regional,-37.3347,144.152,7,75,29,   6.7
De La Salle College,Malvern,Combined,Non-Gov,Major Cities,-37.8577,145.032,24,91.1,31,  10.3
Diamond Valley College,Diamond Creek,Secondary,Gov,Major Cities,-37.6724,145.168,20,63.8,27,   2.8
Donald High School,Donald,Secondary,Gov,Outer Regional,-36.3706,142.977,10,87.5,30,   7.7
Doncaster Secondary College,Doncaster,Secondary,Gov,Major Cities,-37.7846,145.138,48,85.2,29,   5.3
Donvale Christian College,Donvale,Combined,Non-Gov,Major Cities,-37.774,145.193,15,85.1,32,   9.4
Dromana Secondary College,Dromana,Secondary,Gov,Major Cities,-38.3426,145.014,34,64.8,31,   9.5
Drouin Secondary College,Drouin,Secondary,Gov,Inner Regional,-38.1447,145.851,35,69,29,   1.8
East Loddon P-12 College,Dingee,Combined,Gov,Inner Regional,-36.3722,144.141,7,92.9,33,   9.5
East Preston Islamic College,Preston,Combined,Non-Gov,Major Cities,-37.734,145.034,12,69.6,21,   2.2
Echuca College,Echuca,Secondary,Gov,Inner Regional,-36.1324,144.732,17,50,26,   1.1
Edenhope College,Edenhope,Combined,Gov,Outer Regional,-37.0334,141.299,4,100,28,0
Edinburgh College,Lilydale,Combined,Non-Gov,Major Cities,-37.785,145.352,9,87.5,28,0
Elisabeth Murdoch College,Langwarrin,Secondary,Gov,Major Cities,-38.1593,145.19,44,61.4,26,   2.0
Eltham College,Research,Combined,Non-Gov,Major Cities,-37.7004,145.192,18,93.1,32,   8.9
Eltham High School,Eltham,Secondary,Gov,Major Cities,-37.7246,145.142,22,73.8,29,   3.6
Elwood College,Elwood,Secondary,Gov,Major Cities,-37.882,144.984,20,68.5,29,   6.7
Emerald Secondary College,Emerald,Secondary,Gov,Major Cities,-37.9243,145.459,29,57.4,29,   4.8
Emmanuel College,Altona North,Secondary,Non-Gov,Major Cities,-37.8316,144.842,23,87,28,   3.6
Emmaus College,Vermont South,Secondary,Non-Gov,Major Cities,-37.848,145.174,34,86.4,30,   7.7
Epping Secondary College,Epping,Secondary,Gov,Major Cities,-37.6443,145.033,31,81.3,28,   1.8
Euroa Secondary College,Euroa,Secondary,Gov,Inner Regional,-36.7582,145.565,21,44.4,24,0
Fairhills High School,Knoxfield,Secondary,Gov,Major Cities,-37.8729,145.258,33,72.5,25,   1.0
Firbank Grammar School,Brighton,Combined,Non-Gov,Major Cities,-37.9061,144.997,6,98.5,34,  18.1
Fitzroy High School,Fitzroy North,Secondary,Gov,Major Cities,-37.7849,144.987,18,83.3,29,   3.7
Footscray High School,Footscray,Secondary,Gov,Major Cities,-37.79107,144.89401,10,73.5,29,   4.6
Forest Hill College,Burwood East,Secondary,Gov,Major Cities,-37.848,145.164,16,97.7,28,   0.8
Foster Secondary College,Foster,Secondary,Gov,Inner Regional,-38.6517,146.197,14,77.8,31,   9.5
Frankston High School,Frankston,Secondary,Gov,Major Cities,-38.1606,145.128,26,69.7,31,  10.0
Geelong Baptist College,Lovely Banks,Combined,Non-Gov,Major Cities,-38.0681,144.328,11,58.3,24,   3.0
Geelong High School,East Geelong,Secondary,Gov,Major Cities,-38.153,144.374,32,47.1,26,   1.5
Geelong Lutheran College,Armstrong Creek,Combined,Non-Gov,Major Cities,-38.231,144.339,18,80.4,30,   6.2
Gilson College,Taylors Hill,Combined,Non-Gov,Major Cities,-37.7245,144.763,16,91.2,29,   5.0
Gippsland Grammar,Sale,Combined,Non-Gov,Inner Regional,-38.0937,147.065,15,83.9,31,   7.6
Girton Grammar School,Bendigo,Combined,Non-Gov,Inner Regional,-36.762,144.271,9,95.3,33,  18.2
Gisborne Secondary College,Gisborne,Secondary,Gov,Inner Regional,-37.4981,144.585,30,66.1,28,   4.8
Glen Eira College,Caulfield East,Secondary,Gov,Major Cities,-37.8857,145.038,18,85.9,31,   5.2
Gleneagles Secondary College,Endeavour Hills,Secondary,Gov,Major Cities,-37.9744,145.276,26,67,28,   2.8
Glenroy Secondary College,Glenroy,Secondary,Gov,Major Cities,-37.7053,144.928,15,69,23,0
Good News Lutheran College,Tarneit,Combined,Non-Gov,Major Cities,-37.8552,144.666,9,83.3,28,   3.9
Goroke P-12 College,Goroke,Combined,Gov,Outer Regional,-36.7157,141.483,5,0,0,0
Grovedale College,Grovedale,Secondary,Gov,Major Cities,-38.211,144.327,24,52.6,24,   0.8
Haileybury College,Keysborough,Combined,Non-Gov,Major Cities,-37.996,145.146,7,94.4,35,  29.2
Haileybury Girls College,Keysborough,Combined,Non-Gov,Major Cities,-37.9953,145.144,6,98.8,37,  37.2
Hazel Glen College,Doreen,Combined,Gov,Major Cities,-37.5982,145.123,29,66.9,27,   2.2
Healesville High School,Healesville,Secondary,Gov,Inner Regional,-37.6436,145.532,15,90,27,   5.2
Heathdale Christian College,Werribee,Combined,Non-Gov,Major Cities,-37.8813,144.681,11,95.5,29,   4.0
Heatherton Christian College,Clarinda,Combined,Non-Gov,Major Cities,-37.9578,145.111,6,85.2,29,   4.6
Heathmont College,Heathmont,Secondary,Gov,Major Cities,-37.8384,145.232,35,72.1,26,   1.1
Highvale Secondary College,Glen Waverley,Secondary,Gov,Major Cities,-37.8662,145.177,4,86.9,30,   6.3
Hillcrest Christian College,Clyde North,Combined,Non-Gov,Major Cities,-38.0847,145.364,24,85.4,31,   5.8
Holmes Grammar School,Melbourne,Secondary,Non-Gov,Major Cities,-37.8103,144.972,1,88.9,30,   4.4
Holy Trinity Lutheran College,Horsham,Combined,Non-Gov,Outer Regional,-36.7082,142.218,10,100,30,  19.3
Hopetoun P-12 College,Hopetoun,Combined,Gov,Outer Regional,-35.7349,142.366,9,33.3,30,  13.3
Horsham College,Horsham,Secondary,Gov,Outer Regional,-36.7077,142.187,27,67.4,30,   4.1
Hume Anglican Grammar,Mickleham,Combined,Non-Gov,Major Cities,-37.5684,144.931,0,95.3,30,   5.3
Huntingtower School,Mount Waverley,Combined,Non-Gov,Major Cities,-37.8767,145.136,9,98.9,37,  31.6
Islamic College Of Melbourne,Tarneit,Combined,Non-Gov,Major Cities,-37.8547,144.66,5,100,31,   5.9
Ivanhoe Girls' Grammar School,Ivanhoe,Combined,Non-Gov,Major Cities,-37.7665,145.047,5,96.5,35,  25.5
Ivanhoe Grammar School,Ivanhoe,Combined,Non-Gov,Major Cities,-37.7725,145.044,2,89.4,32,  10.3
John Monash Science School,Clayton,Secondary,Gov,Major Cities,-37.9142,145.129,5,99.1,35,  18.7
John Paul College,Frankston,Secondary,Non-Gov,Major Cities,-38.1346,145.139,30,81.7,29,   4.0
Kambrya College,Berwick,Secondary,Gov,Major Cities,-38.0537,145.347,38,93.8,31,   6.4
Kerang Christian College,Kerang,Combined,Non-Gov,Outer Regional,-35.7304,143.913,2,50,27,   4.2
Kerang Technical High School,Kerang,Secondary,Gov,Outer Regional,-35.7257,143.914,10,40.9,30,   9.3
Kew High School,Kew East,Secondary,Gov,Major Cities,-37.7947,145.062,16,89.3,30,   8.3
Kilbreda College,Mentone,Secondary,Non-Gov,Major Cities,-37.9842,145.066,19,89.4,31,   9.9
Killester College,Springvale,Secondary,Non-Gov,Major Cities,-37.9591,145.152,14,96.9,30,   6.0
Kilvington Grammar School,Ormond,Combined,Non-Gov,Major Cities,-37.8995,145.041,4,97.1,34,  14.5
Kingswood College,Box Hill,Combined,Non-Gov,Major Cities,-37.8328,145.119,15,89.4,32,  11.5
Kolbe Catholic College,Greenvale,Secondary,Non-Gov,Major Cities,-37.6157,144.91,17,92.5,26,   1.4
Koonung Secondary College,Mont Albert North,Secondary,Gov,Major Cities,-37.8037,145.116,20,92.9,32,   9.1
Korowa Anglican Girls' School,Glen Iris,Combined,Non-Gov,Major Cities,-37.8615,145.055,5,100,36,  27.2
Kurunjang Secondary College,Melton,Secondary,Gov,Major Cities,-37.6732,144.586,31,78.4,26,   2.6
Kyabram P-12 College,Kyabram,Combined,Gov,Inner Regional,-36.3175,145.056,23,63.3,29,0
Lake Bolac College,Lake Bolac,Combined,Gov,Outer Regional,-37.7202,142.838,8,50,24,0
Lakeview Senior College,Caroline Springs,Secondary,Gov,Major Cities,-37.7312,144.74,33,88.2,27,   3.1
Lalor Secondary College,Lalor,Secondary,Gov,Major Cities,-37.6727,145.031,20,69.2,28,   3.1
Lara Secondary College,Lara,Secondary,Gov,Major Cities,-38.0184,144.412,26,46,24,   2.4
Lavalla Catholic College,Traralgon,Secondary,Non-Gov,Inner Regional,-38.2009,146.514,25,65.9,28,   4.8
Lavers Hill K-12 College,Lavers Hill,Combined,Gov,Outer Regional,-38.6818,143.383,11,100,0,0
Laverton P-12 College,Laverton,Combined,Gov,Major Cities,-37.8562,144.773,22,96.4,22,0
Leibler Yavneh College,Elsternwick,Combined,Non-Gov,Major Cities,-37.8929,145.007,9,92.1,37,  29.4
Leongatha Secondary College,Leongatha,Secondary,Gov,Inner Regional,-38.4787,145.961,28,84.7,27,   1.3
Lighthouse Christian College,Keysborough,Combined,Non-Gov,Major Cities,-38.0011,145.143,8,97.5,30,   6.6
Lilydale Heights College,Lilydale,Secondary,Gov,Major Cities,-37.7458,145.341,24,73.7,23,   0.5
Lilydale High School,Lilydale,Secondary,Gov,Major Cities,-37.7607,145.345,28,51.3,27,   2.4
Little Yarra Steiner School,Yarra Junction,Combined,Non-Gov,Inner Regional,-37.7944,145.631,0,57.1,32,   5.6
Loreto College,Ballarat,Secondary,Non-Gov,Inner Regional,-37.5569,143.823,23,82.4,31,  10.9
Loreto Mandeville Hall,Toorak,Combined,Non-Gov,Major Cities,-37.8482,145.015,4,98,35,  24.7
Lorne P-12 College,Lorne,Combined,Gov,Inner Regional,-38.5392,143.974,1,69.2,27,   4.3
Lowanna College,Newborough,Secondary,Gov,Inner Regional,-38.1767,146.286,29,53.1,25,   1.6
Loyola College,Watsonia,Secondary,Non-Gov,Major Cities,-37.7034,145.081,18,94,30,   5.1
