School Name,Suburb,Type,Sector,Geolocation,Latitude,Longitude,VET Certs With 2021 Enrolments,% Applying for Tertiary Study,Median VCE Score,VCE 40+ %,Dist From Melbourne Centre (m)
Lynall Hall Community School,Richmond,Secondary,Gov,Major Cities,-37.8165,145.002,10,100.0,0,0.0,4082
Lyndale Secondary College,Dandenong North,Secondary,Gov,Major Cities,-37.9578,145.207,24,90.8,28,2.9,34321
Lyndhurst Secondary College,Cranbourne,Secondary,Gov,Major Cities,-38.075,145.27100000000002,26,63.6,28,4.0,46426
Macleod College,Macleod,Combined,Gov,Major Cities,-37.7247,145.072,15,87.0,26,0.4,19247
Maffra Secondary College,Maffra,Secondary,Gov,Inner Regional,-37.9649,146.982,11,77.1,28,6.5,221548
Mallacoota P-12 College,Mallacoota,Combined,Gov,Remote,-37.5594,149.754,3,41.7,31,2.6,514481
Manangatang P-12 College,Manangatang,Combined,Gov,Outer Regional,-35.0562,142.885,1,0.0,0,0.0,412362
Manor Lakes P-12 College,Wyndham Vale,Combined,Gov,Major Cities,-37.8742,144.602,33,48.0,23,0.2,38148
Mansfield Secondary College,Mansfield,Secondary,Gov,Outer Regional,-37.0627,146.089,15,51.7,29,7.1,189525
Maranatha Christian School,Endeavour Hills,Combined,Non-Gov,Major Cities,-37.9709,145.278,11,82.6,32,6.8,37931
Marcellin College,Bulleen,Secondary,Non-Gov,Major Cities,-37.7748,145.083,15,91.1,30,8.5,14147
Marist College Bendigo,Maiden Gully,Combined,Non-Gov,Inner Regional,-36.7317,144.222,10,82.6,27,2.0,156108
Maryborough Education Centre,Maryborough,Combined,Gov,Inner Regional,-37.0418,143.72299999999998,26,81.8,26,0.6,172630
Marymede Catholic College,South Morang,Combined,Non-Gov,Major Cities,-37.6433,145.091,27,94.2,30,4.1,42863
Mater Christi College,Belgrave,Secondary,Non-Gov,Major Cities,-37.9106,145.359,25,93.3,32,12.7,48817
Mazenod College,Mulgrave,Secondary,Non-Gov,Major Cities,-37.9152,145.166,24,92.8,32,11.0,25579
McClelland Secondary College,Frankston,Secondary,Gov,Major Cities,-38.1467,145.158,32,56.3,29,3.6,55573
Mckinnon Secondary College,Mckinnon,Secondary,Gov,Major Cities,-37.912,145.049,14,94.1,32,12.6,19017
Melbourne Girls Grammar,South Yarra,Combined,Non-Gov,Major Cities,-37.8353,144.989,4,95.6,34,18.4,4468
Melbourne Grammar School,Melbourne,Combined,Non-Gov,Major Cities,-37.8335,144.976,5,96.9,35,24.5,3296
Melbourne High School,South Yarra,Secondary,Gov,Major Cities,-37.8368,144.995,10,98.1,36,30.2,4862
Melton Christian College,Brookfield,Combined,Non-Gov,Major Cities,-37.701,144.56,14,77.4,26,1.4,45709
Melton Secondary College,Melton,Secondary,Gov,Major Cities,-37.6824,144.567,23,75.3,27,1.0,45380
Mentone Girls' Grammar School,Mentone,Combined,Non-Gov,Major Cities,-37.9894,145.065,5,100.0,34,19.5,29617
Mentone Grammar School,Mentone,Combined,Non-Gov,Major Cities,-37.9877,145.06799999999998,24,94.2,34,19.9,29285
Mercy Regional College,Camperdown,Secondary,Non-Gov,Inner Regional,-38.2341,143.141,13,58.7,27,1.4,191771
Mernda Central P-12 College,Mernda,Combined,Gov,Major Cities,-37.604,145.088,11,0.0,33,5.3,45408
Mildura Senior College,Mildura,Secondary,Gov,Outer Regional,-34.198,142.145,34,59.2,26,1.7,543761
Minaret College,Springvale,Combined,Non-Gov,Major Cities,-37.938629999999996,145.149,0,97.6,28,3.6,28816
Monbulk College,Monbulk,Secondary,Gov,Major Cities,-37.8832,145.428,34,51.6,27,4.0,61441
Monivae College,Hamilton,Secondary,Non-Gov,Inner Regional,-37.742,142.049,16,62.7,28,3.5,304089
Monterey Secondary College,Frankston North,Secondary,Gov,Major Cities,-38.1267,145.148,16,63.6,28,0.0,54299
Mooroolbark College,Mooroolbark,Secondary,Gov,Major Cities,-37.7751,145.314,28,61.2,28,5.1,37606
Mordialloc College,Mordialloc,Secondary,Gov,Major Cities,-38.0123,145.092,31,88.7,28,6.7,32176
Mornington Secondary College,Mornington,Secondary,Gov,Major Cities,-38.2183,145.059,28,57.5,28,2.9,71958
Mount Clear College,Mount Clear,Secondary,Gov,Inner Regional,-37.6074,143.877,25,45.1,27,0.3,116675
Mount Evelyn Christian School,Mount Evelyn,Combined,Non-Gov,Major Cities,-37.7988,145.36700000000002,15,60.0,28,4.7,41688
Mount Lilydale Mercy College,Lilydale,Secondary,Non-Gov,Major Cities,-37.7508,145.358,29,81.3,30,4.0,43214
Mount Ridley P-12 College,Craigieburn,Combined,Gov,Major Cities,-37.5803,144.923,24,79.6,25,2.0,44061
Mount Rowan Secondary College,Wendouree,Secondary,Gov,Inner Regional,-37.5199,143.834,20,60.0,29,0.0,119329
Mount Scopus Memorial College,Burwood,Combined,Non-Gov,Major Cities,-37.8472,145.118,14,97.4,36,31.9,17568
Mount St Joseph Girls' College,Altona,Secondary,Non-Gov,Major Cities,-37.8639,144.812,14,95.8,31,6.5,19085
Mt Hira College,Keysborough,Combined,Non-Gov,Major Cities,-38.014,145.175,3,100.0,31,5.0,39519
Murrayville Community College,Murrayville,Combined,Gov,Remote,-35.2656,141.17700000000002,1,50.0,28,0.0,540682
Myrtleford P-12 College,Myrtleford,Combined,Gov,Inner Regional,-36.5489,146.726,11,72.7,28,0.0,292112
Nagle College,Bairnsdale,Secondary,Non-Gov,Outer Regional,-37.8371,147.588,17,63.4,28,2.6,278005
Nathalia Secondary College,Nathalia,Secondary,Gov,Inner Regional,-36.0599,145.208,12,33.3,25,0.0,233285
Newcomb Secondary College,Newcomb,Secondary,Gov,Major Cities,-38.1713,144.395,24,32.0,27,3.6,77904
Newhaven College,Rhyll,Combined,Non-Gov,Inner Regional,-38.4897,145.266,4,73.1,31,9.6,135642
Nhill College,Nhill,Combined,Gov,Outer Regional,-36.3326,141.659,7,40.0,27,2.6,372372
Noble Park Secondary College,Noble Park,Secondary,Gov,Major Cities,-37.9702,145.18200000000002,16,81.0,28,2.0,34533
Northcote High School,Northcote,Secondary,Gov,Major Cities,-37.7742,144.99,27,91.7,31,10.3,6192
Northern Bay P-12 College,Corio,Combined,Gov,Major Cities,-38.0793,144.356,33,43.8,23,1.9,66919
Northside Christian College,Bundoora,Combined,Non-Gov,Major Cities,-37.695,145.055,12,85.0,30,6.5,34651
Norwood Secondary College,Ringwood,Secondary,Gov,Major Cities,-37.8005,145.238,32,70.1,28,4.4,29497
Nossal High School,Berwick,Secondary,Gov,Major Cities,-38.0391,145.336,0,100.0,36,26.9,47582
Notre Dame College,Shepparton,Secondary,Non-Gov,Inner Regional,-36.3747,145.408,32,65.5,26,3.2,191936
Numurkah Secondary College,Numurkah,Secondary,Gov,Inner Regional,-36.0799,145.446,10,72.2,27,1.3,228611
Oakleigh Grammar,Oakleigh,Combined,Non-Gov,Major Cities,-37.8959,145.083,6,86.4,29,4.4,19098
Oakwood School,Caulfield North,Secondary,Gov,Major Cities,-37.874,145.034,25,0.0,0,0.0,11610
Oberon High School,Armstrong Creek,Secondary,Gov,Major Cities,-38.23066802,144.3640703,25,66.1,30,3.0,93092
Officer Secondary College,Officer,Secondary,Gov,Major Cities,-38.0697,145.411,34,71.6,26,0.8,54933
OneSchool Global Vic,Melton West,Combined,Non-Gov,Major Cities,-37.686335179770005,144.542275654977,2,0.0,32,11.2,47570
Orbost Secondary College,Orbost,Secondary,Gov,Outer Regional,-37.7041,148.466,7,33.3,27,0.0,371734
Our Lady of Mercy College,Heidelberg,Secondary,Non-Gov,Major Cities,-37.7579,145.06799999999998,23,100.0,32,9.8,14901
Our Lady of Sion College,Box Hill,Secondary,Non-Gov,Major Cities,-37.8184,145.13,24,96.7,32,9.3,21205
Ouyen P-12 College,Ouyen,Combined,Gov,Outer Regional,-35.0646,142.32299999999998,11,75.0,27,4.4,443519
Oxley Christian College,Chirnside Park,Combined,Non-Gov,Major Cities,-37.7629,145.304,5,83.3,32,9.2,37023
Ozford College,Melbourne,Secondary,Non-Gov,Major Cities,-37.8128,144.955,0,19.2,19,1.5,1437
Padua College,Mornington,Secondary,Non-Gov,Major Cities,-38.2183,145.072,40,68.7,29,6.1,67012
Pakenham Secondary College,Pakenham,Secondary,Gov,Major Cities,-38.0691,145.471,25,97.4,26,0.6,61891
Parade College,Bundoora,Secondary,Non-Gov,Major Cities,-37.6902,145.067,18,89.6,30,6.5,35681
Parkdale Secondary College,Mordialloc,Secondary,Gov,Major Cities,-37.9896,145.094,40,62.3,30,7.5,30712
Parkville College,Parkville,Special,Gov,Major Cities,-37.7788,144.94299999999998,22,0.0,0,0.0,5928
Peninsula Grammar,Mount Eliza,Combined,Non-Gov,Major Cities,-38.1982,145.091,12,89.5,33,14.7,63288
Penola Catholic College,Broadmeadows,Secondary,Non-Gov,Major Cities,-37.6888,144.92,27,76.4,26,2.3,17761
Peter Lalor Secondary College,Lalor,Secondary,Gov,Major Cities,-37.6669,145.013,20,0.0,0,0.0,32718
Plenty Valley Christian College,Doreen,Combined,Non-Gov,Major Cities,-37.6135,145.139,24,75.4,29,1.7,34317
Portland Secondary College,Portland,Secondary,Gov,Outer Regional,-38.3588,141.596,13,51.7,25,0.3,354519
Presbyterian Ladies' College,Burwood,Combined,Non-Gov,Major Cities,-37.8489,145.107,0,98.8,36,30.4,16204
Rainbow P-12 College,Rainbow,Combined,Gov,Remote,-35.8945,141.997,8,71.4,27,0.0,405357
Red Cliffs Secondary College,Red Cliffs,Secondary,Gov,Outer Regional,-34.2988,142.195,19,31.0,25,0.0,530516
Red Rock Christian College,Sunbury,Combined,Non-Gov,Inner Regional,-37.5191,144.70600000000002,2,0.0,29,0.0,54063
Reservoir High School,Reservoir,Secondary,Gov,Major Cities,-37.7223,145.03,11,78.8,28,3.9,15458
Ringwood Secondary College,Ringwood,Secondary,Gov,Major Cities,-37.8166,145.239,41,85.3,30,7.0,29350
River Nile School,North Melbourne,Special,Non-Gov,Major Cities,-37.8051,144.955,10,0.0,0,0.0,2016
Robinvale College,Robinvale,Combined,Gov,Outer Regional,-34.5889,142.782,10,60.0,27,2.6,470712
Rochester Secondary College,Rochester,Secondary,Gov,Inner Regional,-36.3528,144.69899999999998,11,83.3,28,1.4,197168
Rosebud Secondary College,Rosebud,Secondary,Gov,Major Cities,-38.3676,144.887,20,83.3,28,5.1,92829
Rosehill Secondary College,Niddrie,Secondary,Gov,Major Cities,-37.7473,144.886,20,89.9,29,5.4,18731
Rowville Secondary College,Rowville,Secondary,Gov,Major Cities,-37.9239,145.237,49,62.1,26,3.1,31851
Roxburgh College,Roxburgh Park,Secondary,Gov,Major Cities,-37.6306,144.929,17,90.8,25,3.0,30662
Rushworth P-12 College,Rushworth,Combined,Gov,Inner Regional,-36.5833,145.014,2,100.0,25,0.0,181391
Rutherglen High School,Rutherglen,Secondary,Gov,Inner Regional,-36.0626,146.452,6,33.3,24,0.9,294903
Ruyton Girls' School,Kew,Combined,Non-Gov,Major Cities,-37.8112,145.039,7,97.8,36,27.1,10368
Sacre Coeur,Glen Iris,Combined,Non-Gov,Major Cities,-37.8615,145.053,2,100.0,35,18.6,12946
Sacred Heart College,Yarrawonga,Secondary,Non-Gov,Inner Regional,-36.0089,146.01,8,80.0,29,4.5,277477
Sale College,Sale,Secondary,Gov,Inner Regional,-38.1089,147.06799999999998,16,46.0,26,0.0,214469
Salesian College Sunbury,Sunbury,Secondary,Non-Gov,Major Cities,-37.5726,144.739,27,71.7,28,3.1,40928
Sandringham College,Sandringham,Secondary,Gov,Major Cities,-37.9567,145.023,24,77.9,30,5.9,18666
Santa Maria College,Northcote,Secondary,Non-Gov,Major Cities,-37.7704,145.002,20,96.8,32,10.8,7885
Scoresby Secondary College,Scoresby,Secondary,Gov,Major Cities,-37.8886,145.236,13,52.9,27,1.4,31848
Scotch College,Hawthorn,Combined,Non-Gov,Major Cities,-37.8339,145.032,4,96.6,34,20.9,8612
Seymour College,Seymour,Combined,Gov,Inner Regional,-37.0298,145.141,27,67.3,27,2.8,113010
Shepparton Christian College,Shepparton,Combined,Non-Gov,Inner Regional,-36.3538,145.416,12,58.3,29,0.0,194486
Sherbrooke Community School,Sassafras,Combined,Gov,Major Cities,-37.8682,145.349,10,50.0,30,20.0,45298
Somerville Secondary College,Somerville,Secondary,Gov,Major Cities,-38.2272,145.168,18,100.0,27,0.0,64976
Southern Cross Grammar,Caroline Springs,Combined,Non-Gov,Major Cities,-37.714,144.74,2,91.4,31,9.6,34122
St Albans Secondary College,St Albans,Secondary,Gov,Major Cities,-37.7453,144.80700000000002,21,92.4,30,8.2,24126
St Aloysius College,North Melbourne,Secondary,Non-Gov,Major Cities,-37.7929,144.94299999999998,15,100.0,32,10.8,4396
St Andrews Christian College,Wantirna South,Combined,Non-Gov,Major Cities,-37.8742,145.244,9,90.5,33,12.3,33987
St Arnaud Secondary College,St Arnaud,Secondary,Gov,Outer Regional,-36.6095,143.251,14,100.0,28,0.0,242868
St Augustine's College,Kyabram,Combined,Non-Gov,Inner Regional,-36.3096,145.045,18,78.8,26,2.9,212497
St Bede's College,Mentone,Secondary,Non-Gov,Major Cities,-37.9912,145.06799999999998,25,80.0,30,6.4,29369
St Bernard's College,Essendon,Secondary,Non-Gov,Major Cities,-37.7494,144.884,23,82.7,30,5.3,18952
St Brigid's College,Horsham,Secondary,Non-Gov,Outer Regional,-36.7173,142.208,22,70.8,28,0.0,298634
St Catherine's School,Toorak,Combined,Non-Gov,Major Cities,-37.8383,145.02100000000002,9,97.5,37,32.2,7445
St Columba's College,Essendon,Secondary,Non-Gov,Major Cities,-37.7572,144.914,18,96.6,32,12.7,12886
St Francis Xavier College,Beaconsfield,Secondary,Non-Gov,Major Cities,-38.0515,145.373,29,71.2,29,4.3,51755
St John's Regional College,Dandenong,Secondary,Non-Gov,Major Cities,-37.9902,145.226,23,77.9,26,3.0,37689
St Joseph's College,Ferntree Gully,Secondary,Non-Gov,Major Cities,-37.8905,145.295,28,81.2,31,9.2,39558
St Joseph's College,Echuca,Secondary,Non-Gov,Inner Regional,-36.1181,144.743,21,75.0,28,3.1,225284
St Kevin's College,Toorak,Combined,Non-Gov,Major Cities,-37.8354,145.025,6,97.6,35,22.0,9441
St Leonard's College,Brighton East,Combined,Non-Gov,Major Cities,-37.9286,145.00799999999998,13,96.1,34,16.8,15232
St Mary MacKillop College,Swan Hill,Secondary,Non-Gov,Outer Regional,-35.3419,143.55700000000002,8,84.0,28,4.2,338508
St Michael's Grammar School,St Kilda,Combined,Non-Gov,Major Cities,-37.8596,144.99200000000002,8,92.9,34,13.8,7032
St Monica's College,Epping,Secondary,Non-Gov,Major Cities,-37.6557,145.032,16,86.4,29,4.5,35264
St Patrick's College,Ballarat,Secondary,Non-Gov,Inner Regional,-37.5597,143.832,21,68.1,28,5.5,117102
St Peter's College,Cranbourne,Secondary,Non-Gov,Major Cities,-38.1084,145.257,42,83.5,25,1.3,52145
St Thomas Aquinas College,Tynong,Combined,Non-Gov,Inner Regional,-38.083,145.623,6,47.1,28,0.0,74784
Star of the Sea College,Brighton,Secondary,Non-Gov,Major Cities,-37.8967,144.997,16,100.0,33,17.6,11267
Staughton College,Melton South,Secondary,Gov,Major Cities,-37.7083,144.56799999999998,27,59.8,26,1.3,46274
Stawell Secondary College,Stawell,Secondary,Gov,Inner Regional,-37.062,142.79,24,50.0,24,1.9,233201
Strathmore Secondary College,Strathmore,Secondary,Gov,Major Cities,-37.736999999999995,144.92700000000002,9,82.9,30,7.2,12236
Sunbury College,Sunbury,Secondary,Gov,Major Cities,-37.5742,144.72899999999998,24,60.2,26,3.2,42530
Sunshine College,Sunshine West,Secondary,Gov,Major Cities,-37.7927,144.814,18,62.4,27,2.1,18457
Suzanne Cory High School,Werribee,Secondary,Gov,Major Cities,-37.8939,144.701,2,97.8,34,17.2,28506
Swan Hill College,Swan Hill,Secondary,Gov,Outer Regional,-35.3352,143.553,24,83.3,26,1.4,339991
Swifts Creek P-12 School,Swifts Creek,Combined,Gov,Outer Regional,-37.2668,147.724,4,85.7,30,6.3,375038
Sydney Road Community School,Brunswick,Secondary,Gov,Major Cities,-37.7695,144.96200000000002,8,28.6,27,0.0,5944
Tallangatta Secondary College,Tallangatta,Secondary,Gov,Outer Regional,-36.2204,147.173,14,50.0,26,0.0,364111
Tarneit Senior College,Tarneit,Secondary,Gov,Major Cities,-37.8333,144.679,15,69.2,24,0.6,27485
Templestowe College,Templestowe Lower,Secondary,Gov,Major Cities,-37.7675,145.122,35,64.2,30,6.6,18970
The Geelong College,Newtown,Combined,Non-Gov,Major Cities,-38.1524,144.34,9,90.8,33,15.6,81247
The Grange P-12 College,Hoppers Crossing,Combined,Gov,Major Cities,-37.8581,144.675,22,64.9,22,1.6,32280
The King David School,Armadale,Combined,Non-Gov,Major Cities,-37.8582,145.01,13,100.0,36,26.8,8653
The Knox School,Wantirna South,Combined,Non-Gov,Major Cities,-37.8655,145.219,8,92.5,33,16.1,34263
The Lakes South Morang College,South Morang,Combined,Gov,Major Cities,-37.6346,145.077,8,0.0,0,0.0,43040
Thomas Carr College,Tarneit,Secondary,Non-Gov,Major Cities,-37.8477,144.702,26,89.8,27,2.1,26095
Thomastown Secondary College,Thomastown,Secondary,Gov,Major Cities,-37.679,145.003,11,66.0,26,2.9,30443
Thornbury High School,Thornbury,Secondary,Gov,Major Cities,-37.7565,145.025,23,88.7,29,6.3,11341
Timboon P-12 School,Timboon,Combined,Gov,Outer Regional,-38.4837,142.975,12,76.9,28,3.8,216916
Tintern Grammar,Ringwood East,Combined,Non-Gov,Major Cities,-37.8161,145.256,8,92.2,30,7.2,31581
Toorak College,Mount Eliza,Combined,Non-Gov,Major Cities,-38.1732,145.093,4,96.0,34,14.3,60479
Trafalgar High School,Trafalgar,Secondary,Gov,Inner Regional,-38.2146,146.158,26,63.9,28,2.3,126377
Traralgon College,Traralgon,Secondary,Gov,Inner Regional,-38.1914,146.519,24,44.4,27,1.8,164061
Tyrrell College,Sea Lake,Combined,Gov,Outer Regional,-35.5093,142.85399999999998,4,100.0,30,3.1,353485
University High School,Parkville,Secondary,Gov,Major Cities,-37.797,144.95600000000002,20,84.5,31,13.3,4244
Upper Yarra Secondary College,Yarra Junction,Secondary,Gov,Inner Regional,-37.7921,145.624,20,48.8,25,0.0,67924
Upwey High School,Upwey,Secondary,Gov,Major Cities,-37.9032,145.334,28,70.4,27,1.3,40797
Vermont Secondary College,Vermont,Secondary,Gov,Major Cities,-37.8429,145.2,29,77.9,31,9.8,32686
Victorian College For The Deaf,Melbourne,Special,Gov,Major Cities,-37.8498,144.982,6,0.0,35,25.0,5524
Victory Lutheran College,West Wodonga,Combined,Non-Gov,Inner Regional,-36.1168,146.846,11,68.4,30,11.3,318375
Viewbank College,Viewbank,Secondary,Gov,Major Cities,-37.7412,145.08700000000002,20,79.7,30,3.9,18744
Virtual School Victoria,Thornbury,Combined,Gov,Major Cities,-37.762,145.026,24,31.9,28,4.7,10811
Wallan Secondary College,Wallan,Secondary,Gov,Major Cities,-37.4194,144.98,19,60.3,24,0.0,60930
Wangaratta High School,Wangaratta,Secondary,Gov,Inner Regional,-36.3449,146.308,21,56.5,28,7.0,252749
Wantirna College,Wantirna,Secondary,Gov,Major Cities,-37.8578,145.231,36,58.6,28,3.2,34544
Warragul Regional College,Warragul,Secondary,Gov,Inner Regional,-38.1652,145.925,22,58.1,25,0.0,106026
Warrandyte High School,Warrandyte,Secondary,Gov,Major Cities,-37.7471,145.185,18,74.1,25,2.2,24875
Warrnambool College,Warrnambool,Secondary,Gov,Inner Regional,-38.3767,142.5,21,58.7,27,1.4,254868
Waverley Christian College,Wantirna South,Combined,Non-Gov,Major Cities,-37.8796,145.215,26,92.2,33,14.8,34424
Wedderburn College,Wedderburn,Combined,Gov,Outer Regional,-36.417,143.61700000000002,13,80.0,29,0.0,216834
Wellington Secondary College,Mulgrave,Secondary,Gov,Major Cities,-37.9347,145.17,24,83.1,28,4.8,30493
Werribee Secondary College,Werribee,Secondary,Gov,Major Cities,-37.9055,144.66899999999998,31,95.7,29,4.9,32646
Wesley College,Melbourne,Combined,Non-Gov,Major Cities,-37.8488,144.982,4,97.1,32,9.6,5473
Westall Secondary College,Clayton South,Secondary,Gov,Major Cities,-37.9402,145.136,28,90.0,27,3.8,27807
Westbourne Grammar School,Truganina,Combined,Non-Gov,Major Cities,-37.8508,144.725,1,96.3,33,13.4,23942
Whittlesea Secondary College,Whittlesea,Secondary,Gov,Inner Regional,-37.515,145.12,27,60.0,25,0.5,56068
Williamstown High School,Williamstown,Secondary,Gov,Major Cities,-37.8628,144.895,24,77.5,32,10.0,13366
Woodleigh School,Langwarrin South,Combined,Non-Gov,Major Cities,-38.1926,145.174,18,94.9,32,8.2,60072
Woodmans Hill Secondary College,Ballarat East,Secondary,Gov,Inner Regional,-37.5591,143.894,16,52.9,29,2.8,110485
Wycheproof P-12 College,Wycheproof,Combined,Gov,Outer Regional,-36.0757,143.22899999999998,8,66.7,33,9.1,277573
Xavier College,Kew,Combined,Non-Gov,Major Cities,-37.8139,145.031,14,92.1,33,13.1,9040
Yarra Hills Secondary College,Mooroolbark,Secondary,Gov,Major Cities,-37.7893,145.316,49,54.4,25,0.6,36791
Yarram Secondary College,Yarram,Secondary,Gov,Inner Regional,-38.5666,146.685,17,56.5,26,0.7,222615
Yarrawonga College P-12,Yarrawonga,Combined,Gov,Inner Regional,-36.0214,146.007,15,61.9,27,0.9,275868
Yea High School,Yea,Secondary,Gov,Inner Regional,-37.215,145.409,13,65.5,26,0.7,132710
Yeshivah College,St Kilda East,Combined,Non-Gov,Major Cities,-37.8679,145.0,3,88.2,35,14.3,8623
Youth2Industry College,South Melbourne,Secondary,Non-Gov,Major Cities,-37.8370872529307,144.966561398377,17,0.0,0,0.0,3641
